variant,p,seat_effective_util,seat_turnover_per_hour,abandon_ratio,seat_wait_mean,food_wait_mean,served,people_served,pre_claimed_share,total_time_mean,seat_idle_pre_util,seat_effective_util_ci,seat_turnover_per_hour_ci,abandon_ratio_ci,seat_wait_mean_ci,food_wait_mean_ci,served_ci,people_served_ci,pre_claimed_share_ci,total_time_mean_ci,seat_idle_pre_util_ci
硬核占座 (占不到座就干等),0.0,0.8207165879826923,3.6522222222222225,0.06502701280940576,7.951531111116655,4.010753765978766,1095.6666666666667,1095.6666666666667,0.0,26.306675089575975,0.0,0.003293772165298738,0.02919059437190845,0.004314598948379063,0.19840685811630052,0.21738033470808674,8.757178311572533,8.757178311572533,0.0,0.31460885757990736,0.0
硬核占座 (占不到座就干等),0.4,0.760258045306994,3.3090277777777772,0.15256124133832571,9.2599778576014,0.9380398543033076,992.7083333333334,992.7083333333334,0.33759706652715266,23.99669674345971,0.03864464647321696,0.0034376539266355354,0.015776946591360624,0.008824605205175404,0.14716034044477766,0.11937688674075933,4.733083977408183,4.733083977408183,0.006606157056118379,0.18603487668947774,0.0025872921981499324
硬核占座 (占不到座就干等),0.8,0.7640770596187224,3.320138888888889,0.14971512863516248,9.35896371584195,0.0593866708100442,996.0416666666666,996.0416666666666,0.6771283882292666,23.255231981069002,0.040820365432730536,0.0032110177368325915,0.014992866750841265,0.008742978771710269,0.1403670255409016,0.007723244467615232,4.497860025252374,4.497860025252374,0.007233717913119921,0.1535078863540392,0.00041770964264684453
自适应占座 (占不到座就去排队),0.0,0.8207165879826923,3.6522222222222225,0.06502701280940576,7.951531111116655,4.010753765978766,1095.6666666666667,1095.6666666666667,0.0,26.306675089575975,0.0,0.003293772165298738,0.02919059437190845,0.004314598948379063,0.19840685811630052,0.21738033470808674,8.757178311572533,8.757178311572533,0.0,0.31460885757990736,0.0
自适应占座 (占不到座就去排队),0.4,0.776378473166936,3.3695833333333334,0.13709837837668723,5.041563219514703,3.627330899626972,1010.875,1010.875,0.08117320090568002,23.25798552456905,0.005058370143468954,0.0035319525754016934,0.01599034191696909,0.008188107887398396,0.19506661419340443,0.19009925609233727,4.7971025750907215,4.7971025750907215,0.003928429482014526,0.16922499903610513,0.00021812065941075062
自适应占座 (占不到座就去排队),0.8,0.7736911111710203,3.3559722222222224,0.14055495834222634,4.744506380231375,3.640356000769725,1006.7916666666666,1006.7916666666666,0.16133144500742772,22.88371519739356,0.009959311419547518,0.0036226048921099326,0.016065924931595924,0.008673142856063623,0.2119391881748108,0.19274091156557724,4.81977747947878,4.81977747947878,0.00493153252580339,0.1564238587556893,0.00027698270415990606
结伴占座 (2~4人同行),0.0,0.7718970269147541,3.3512500000000003,0.1382742938574171,9.004234892293631,0.023127033190635613,593.625,1005.375,0.0,23.03000635550977,0.0,0.006316910284306626,0.038299636365541255,0.012767172241215815,0.21205879654927934,0.003916213024384962,6.432581383928972,11.489890909662375,0.0,0.22075293563573345,0.0
结伴占座 (2~4人同行),0.4,0.7707021977588294,3.3454166666666665,0.1397704098507537,8.882790211748743,0.022691916078086086,587.125,1003.625,0.08021947918135187,22.87030648042318,0.004628336164890609,0.006048133924282192,0.03837426658255236,0.012809650358104432,0.20610530381753492,0.0038551914498813947,6.521227461812359,11.5122799747657,0.005262431904371741,0.208562651442943,0.0002894105865777982
结伴占座 (2~4人同行),0.8,0.7684575989582009,3.333611111111111,0.14281908798405626,8.810857924367406,0.022028067498622256,585.75,1000.0833333333334,0.1580406369791593,22.790575801727908,0.008964008711151725,0.00616883756014641,0.0373740563927796,0.012453059025594992,0.20368342077050705,0.0038688129691715266,6.370000000000001,11.212216917833887,0.0057575141241331396,0.21715614596851518,0.0002794691896194564
结伴但允许拆座 (散客可先坐),0.0,0.7454768091475218,3.2327777777777773,0.16874044920580633,7.161423648995451,0.024748100725827397,611.375,969.8333333333334,0.0,21.194791924440782,0.0,0.006674228608400999,0.034197081235138836,0.011688808507908176,0.44677522133989916,0.004502235987161771,5.331009536772507,10.259124370541647,0.0,0.4958230064264043,0.0
结伴但允许拆座 (散客可先坐),0.4,0.7430763407562401,3.223333333333333,0.17119362702716392,7.061355280198794,0.024669289971715136,610.625,967.0,0.08413439984417707,21.097909502256304,0.004798794749735618,0.006835678775272881,0.034727369744047346,0.011503072560041527,0.43563478450899706,0.004542840337494585,5.8202962285785595,10.418210923214204,0.005482961559630509,0.4812138627169093,0.0002841467736799193
结伴但允许拆座 (散客可先坐),0.8,0.7409930505604928,3.2125,0.17394162271862512,6.989785051794489,0.02425799686834537,609.625,963.75,0.1651709323810561,21.02268953624781,0.009280200440308433,0.007053941290781349,0.03493217744335412,0.011968017048590641,0.41297410078789903,0.00437429748813404,5.529654869068638,10.479653233006234,0.006081821281357933,0.4600107477673241,0.000277945543123121
